date,datatype,station,value,month_abbr
1,TMAX,GHCND:USC00155444,37.4,Jan
1,TMIN,GHCND:USC00155444,14.8,Jan
2,TMAX,GHCND:USC00155444,48.0,Feb
2,TMIN,GHCND:USC00155444,24.1,Feb
3,TMAX,GHCND:USC00155444,61.25,Mar
3,TMIN,GHCND:USC00155444,32.7,Mar
4,TMAX,GHCND:USC00155444,69.0,Apr
4,TMIN,GHCND:USC00155444,44.8,Apr
5,TMAX,GHCND:USC00155444,76.7,May
5,TMIN,GHCND:USC00155444,54.7,May
6,TMAX,GHCND:USC00155444,84.2,Jun
6,TMIN,GHCND:USC00155444,59.3,Jun
7,TMAX,GHCND:USC00155444,86.1,Jul
7,TMIN,GHCND:USC00155444,63.1,Jul
8,TMAX,GHCND:USC00155444,87.0,Aug
8,TMIN,GHCND:USC00155444,59.6,Aug
9,TMAX,GHCND:USC00155444,81.8,Sep
9,TMIN,GHCND:USC00155444,54.8,Sep
10,TMAX,GHCND:USC00155444,73.6,Oct
10,TMIN,GHCND:USC00155444,39.1,Oct
11,TMAX,GHCND:USC00155444,59.8,Nov
11,TMIN,GHCND:USC00155444,38.8,Nov
12,TMAX,GHCND:USC00155444,48.1,Dec
12,TMIN,GHCND:USC00155444,28.0,Dec
1,TMAX,GHCND:USR0000MMCF,30.0,Jan
1,TMIN,GHCND:USR0000MMCF,13.1,Jan
2,TMAX,GHCND:USR0000MMCF,32.0,Feb
2,TMIN,GHCND:USR0000MMCF,12.8,Feb
3,TMAX,GHCND:USR0000MMCF,42.75,Mar
3,TMIN,GHCND:USR0000MMCF,27.75,Mar
4,TMAX,GHCND:USR0000MMCF,52.1,Apr
4,TMIN,GHCND:USR0000MMCF,35.1,Apr
5,TMAX,GHCND:USR0000MMCF,65.0,May
5,TMIN,GHCND:USR0000MMCF,47.0,May
6,TMAX,GHCND:USR0000MMCF,74.4,Jun
6,TMIN,GHCND:USR0000MMCF,55.3,Jun
7,TMAX,GHCND:USR0000MMCF,80.0,Jul
7,TMIN,GHCND:USR0000MMCF,62.5,Jul
8,TMAX,GHCND:USR0000MMCF,76.4,Aug
8,TMIN,GHCND:USR0000MMCF,59.6,Aug
9,TMAX,GHCND:USR0000MMCF,71.8,Sep
9,TMIN,GHCND:USR0000MMCF,53.8,Sep
10,TMAX,GHCND:USR0000MMCF,59.9,Oct
10,TMIN,GHCND:USR0000MMCF,43.4,Oct
11,TMAX,GHCND:USR0000MMCF,48.7,Nov
11,TMIN,GHCND:USR0000MMCF,34.6,Nov
12,TMAX,GHCND:USR0000MMCF,36.7,Dec
12,TMIN,GHCND:USR0000MMCF,21.1,Dec
1,TMAX,GHCND:USW00014739,35.0,Jan
1,TMIN,GHCND:USW00014739,22.9,Jan
2,TMAX,GHCND:USW00014739,37.2,Feb
2,TMIN,GHCND:USW00014739,24.3,Feb
3,TMAX,GHCND:USW00014739,49.400000000000006,Mar
3,TMIN,GHCND:USW00014739,34.9,Mar
4,TMAX,GHCND:USW00014739,56.1,Apr
4,TMIN,GHCND:USW00014739,41.5,Apr
5,TMAX,GHCND:USW00014739,66.8,May
5,TMIN,GHCND:USW00014739,52.6,May
6,TMAX,GHCND:USW00014739,80.1,Jun
6,TMIN,GHCND:USW00014739,61.8,Jun
7,TMAX,GHCND:USW00014739,84.1,Jul
7,TMIN,GHCND:USW00014739,67.9,Jul
8,TMAX,GHCND:USW00014739,79.4,Aug
8,TMIN,GHCND:USW00014739,64.6,Aug
9,TMAX,GHCND:USW00014739,72.6,Sep
9,TMIN,GHCND:USW00014739,59.1,Sep
10,TMAX,GHCND:USW00014739,64.8,Oct
10,TMIN,GHCND:USW00014739,48.1,Oct
11,TMAX,GHCND:USW00014739,56.4,Nov
11,TMIN,GHCND:USW00014739,41.4,Nov
12,TMAX,GHCND:USW00014739,41.8,Dec
12,TMIN,GHCND:USW00014739,29.0,Dec
1,TMAX,GHCND:USW00014732,37.6,Jan
1,TMIN,GHCND:USW00014732,27.4,Jan
2,TMAX,GHCND:USW00014732,41.9,Feb
2,TMIN,GHCND:USW00014732,29.6,Feb
3,TMAX,GHCND:USW00014732,54.8,Mar
3,TMIN,GHCND:USW00014732,39.4,Mar
4,TMAX,GHCND:USW00014732,60.8,Apr
4,TMIN,GHCND:USW00014732,46.5,Apr
5,TMAX,GHCND:USW00014732,72.3,May
5,TMIN,GHCND:USW00014732,57.5,May
6,TMAX,GHCND:USW00014732,84.5,Jun
6,TMIN,GHCND:USW00014732,67.7,Jun
7,TMAX,GHCND:USW00014732,87.1,Jul
7,TMIN,GHCND:USW00014732,72.3,Jul
8,TMAX,GHCND:USW00014732,83.8,Aug
8,TMIN,GHCND:USW00014732,69.7,Aug
9,TMAX,GHCND:USW00014732,75.7,Sep
9,TMIN,GHCND:USW00014732,63.5,Sep
10,TMAX,GHCND:USW00014732,69.8,Oct
10,TMIN,GHCND:USW00014732,54.5,Oct
11,TMAX,GHCND:USW00014732,59.2,Nov
11,TMIN,GHCND:USW00014732,46.2,Nov
12,TMAX,GHCND:USW00014732,44.5,Dec
12,TMIN,GHCND:USW00014732,33.8,Dec
1,TMAX,GHCND:USC00488997,30.0,Jan
1,TMIN,GHCND:USC00488997,8.1,Jan
2,TMAX,GHCND:USC00488997,36.5,Feb
2,TMIN,GHCND:USC00488997,8.1,Feb
3,TMAX,GHCND:USC00488997,52.3,Mar
3,TMIN,GHCND:USC00488997,23.9,Mar
4,TMAX,GHCND:USC00488997,57.4,Apr
4,TMIN,GHCND:USC00488997,31.3,Apr
5,TMAX,GHCND:USC00488997,64.8,May
5,TMIN,GHCND:USC00488997,38.2,May
6,TMAX,GHCND:USC00488997,82.6,Jun
6,TMIN,GHCND:USC00488997,50.5,Jun
7,TMAX,GHCND:USC00488997,88.8,Jul
