park_code,park_name,wiki_url,nps_url,area_acres,lat,lon
ABLI,Abraham Lincoln Birthplace National Historical Park,https://en.wikipedia.org/wiki/Abraham_Lincoln_Birthplace_National_Historical_Park,https://www.nps.gov/ABLI/index.htm,344.5,37.531,-85.7375
ACAD,Acadia National Park,https://en.wikipedia.org/wiki/Acadia_National_Park,https://www.nps.gov/ACAD/index.htm,49075.0,44.35,-68.217
ADAM,Adams National Historical Park,https://en.wikipedia.org/wiki/Adams_National_Historical_Park,https://www.nps.gov/ADAM/index.htm,8.5,42.25639,-71.01139
AFBG,African Burial Ground National Monument,https://en.wikipedia.org/wiki/African_Burial_Ground_National_Monument,https://www.nps.gov/AFBG/index.htm,0.35,40.71444,-74.00444
AGFO,Agate Fossil Beds National Monument,https://en.wikipedia.org/wiki/Agate_Fossil_Beds_National_Monument,https://www.nps.gov/AGFO/index.htm,3057.87,42.421703,-103.75388
ALAG,Alagnak Wild River,https://en.wikipedia.org/wiki/Alagnak_Wild_River,https://www.nps.gov/ALAG/index.htm,,,
ALFL,Alibates Flint Quarries National Monument,https://en.wikipedia.org/wiki/Alibates_Flint_Quarries_National_Monument,https://www.nps.gov/ALFL/index.htm,1371.0,35.575045,-101.6837868
ALPO,Allegheny Portage Railroad National Historic Site,https://en.wikipedia.org/wiki/Allegheny_Portage_Railroad_National_Historic_Site,https://www.nps.gov/ALPO/index.htm,1296.0,40.45417,-78.54028
AMCH,Amache National Historic Site,https://en.wikipedia.org/wiki/Amache_National_Historic_Site,https://www.nps.gov/AMCH/index.htm,,38.04962,-102.3286
AMIS,Amistad National Recreation Area,https://en.wikipedia.org/wiki/Amistad_National_Recreation_Area,https://www.nps.gov/AMIS/index.htm,58500.0,29.43667,-101.05
ANDE,Andersonville National Historic Site,https://en.wikipedia.org/wiki/Andersonville_National_Historic_Site,https://www.nps.gov/ANDE/index.htm,514.0,32.19472,-84.12889
ANIA,Aniakchak National Monument & Preserve,https://en.wikipedia.org/wiki/Aniakchak_National_Monument_and_Preserve,https://www.nps.gov/ANIA/index.htm,601294.0,56.833,-158.25
ANJO,Andrew Johnson National Historic Site,https://en.wikipedia.org/wiki/Andrew_Johnson_National_Historic_Site,https://www.nps.gov/ANJO/index.htm,16.68,36.15833,-82.835
ANTI,Antietam National Battlefield,https://en.wikipedia.org/wiki/Antietam_National_Battlefield,https://www.nps.gov/ANTI/index.htm,3229.0,39.47028,-77.73806
APCO,Appomattox Court House National Historical Park,https://en.wikipedia.org/wiki/Appomattox_Court_House_National_Historical_Park,https://www.nps.gov/APCO/index.htm,1774.6,37.3775,-78.796
APIS,Apostle Islands National Lakeshore,https://en.wikipedia.org/wiki/Apostle_Islands_National_Lakeshore,https://www.nps.gov/APIS/index.htm,69540.0,46.96528,-90.66417
ARCH,Arches National Park,https://en.wikipedia.org/wiki/Arches_National_Park,https://www.nps.gov/ARCH/index.htm,76679.0,38.72806,-109.54
ARHO,"Arlington House, The Robert  E. Lee Memorial","https://en.wikipedia.org/wiki/Arlington_House,_The_Robert__E._Lee_Memorial",https://www.nps.gov/ARHO/index.htm,28.08,38.8821531,-77.0735239
ARPO,Arkansas Post National Memorial,https://en.wikipedia.org/wiki/Arkansas_Post_National_Memorial,https://www.nps.gov/ARPO/index.htm,757.51,34.01667,-91.34528
ASIS,Assateague Island National Seashore,https://en.wikipedia.org/wiki/Assateague_Island_National_Seashore,https://www.nps.gov/ASIS/index.htm,41320.0,38.08333,-75.20833
AZRU,Aztec Ruins National Monument,https://en.wikipedia.org/wiki/Aztec_Ruins_National_Monument,https://www.nps.gov/AZRU/index.htm,318.0,36.835837,-107.9981235
BADL,Badlands National Park,https://en.wikipedia.org/wiki/Badlands_National_Park,https://www.nps.gov/BADL/index.htm,242756.0,43.75,-102.5
BAND,Bandelier National Monument,https://en.wikipedia.org/wiki/Bandelier_National_Monument,https://www.nps.gov/BAND/index.htm,33677.0,35.77889,-106.32111
BELA,Bering Land Bridge National Preserve,https://en.wikipedia.org/wiki/Bering_Land_Bridge_National_Preserve,https://www.nps.gov/BELA/index.htm,2697391.0,65.833,-164.167
BEOL,Bent's Old Fort National Historic Site,https://en.wikipedia.org/wiki/Bent's_Old_Fort_National_Historic_Site,https://www.nps.gov/BEOL/index.htm,799.0,38.0406,-103.4294
BEPA,Belmont-Paul Women's Equality National Monument,https://en.wikipedia.org/wiki/Belmont-Paul_Women's_Equality_National_Monument,https://www.nps.gov/BEPA/index.htm,0.34,38.89194,-77.00361
BIBE,Big Bend National Park,https://en.wikipedia.org/wiki/Big_Bend_National_Park,https://www.nps.gov/BIBE/index.htm,801163.0,29.25,-103.25
BICA,Bighorn Canyon National Recreation Area,https://en.wikipedia.org/wiki/Bighorn_Canyon_National_Recreation_Area,https://www.nps.gov/BICA/index.htm,120296.22,45.19444,-108.13056
BICR,Birmingham Civil Rights National Monument,https://en.wikipedia.org/wiki/Birmingham_Civil_Rights_National_Monument,https://www.nps.gov/BICR/index.htm,18.25,33.51528,-86.81472
BICY,Big Cypress National Preserve,https://en.wikipedia.org/wiki/Big_Cypress_National_Preserve,https://www.nps.gov/BICY/index.htm,720566.0,25.85889,-81.03389
BIHO,Big Hole National Battlefield,https://en.wikipedia.org/wiki/Big_Hole_National_Battlefield,https://www.nps.gov/BIHO/index.htm,655.61,45.6375,-113.64361
BISC,Biscayne National Park,https://en.wikipedia.org/wiki/Biscayne_National_Park,https://www.nps.gov/BISC/index.htm,172971.0,25.46944,-80.18611
BISO,Big South Fork National River & Recreation Area,https://en.wikipedia.org/wiki/Big_South_Fork_National_River_and_Recreation_Area,https://www.nps.gov/BISO/index.htm,125310.0,36.4865,-84.6985
BITH,Big Thicket National Preserve,https://en.wikipedia.org/wiki/Big_Thicket_National_Preserve,https://www.nps.gov/BITH/index.htm,113122.0,30.5475,-94.34
BLCA,Black Canyon Of The Gunnison National Park,https://en.wikipedia.org/wiki/Black_Canyon_Of_The_Gunnison_National_Park,https://www.nps.gov/BLCA/index.htm,30750.0,38.5791,-107.7276
BLRI,Blue Ridge Parkway,https://en.wikipedia.org/wiki/Blue_Ridge_Parkway,https://www.nps.gov/BLRI/index.htm,93390.0,36.51861,-80.93583
BLRV,Blackstone River Valley National Historical Park,https://en.wikipedia.org/wiki/Blackstone_River_Valley_National_Historical_Park,https://www.nps.gov/BLRV/index.htm,,41.8775,-71.3825
BLUE,Bluestone National Scenic River,https://en.wikipedia.org/wiki/Bluestone_National_Scenic_River,https://www.nps.gov/BLUE/index.htm,,37.54167,-80.99917
BOAF,Boston African American National Historic Site,https://en.wikipedia.org/wiki/Boston_African_American_National_Historic_Site,https://www.nps.gov/BOAF/index.htm,0.18,42.36,-71.06472
BOHA,Boston Harbor Islands National Recreation Area,https://en.wikipedia.org/wiki/Boston_Harbor_Islands_National_Recreation_Area,https://www.nps.gov/BOHA/index.htm,1482.0,42.31861,-70.94583
BOST,Boston National Historical Park,https://en.wikipedia.org/wiki/Boston_National_Historical_Park,https://www.nps.gov/BOST/index.htm,43.0,42.36,-71.05639
BOWA,Booker T Washington National Monument,https://en.wikipedia.org/wiki/Booker_T_Washington_National_Monument,https://www.nps.gov/BOWA/index.htm,198.8,37.1196056,-79.7315139
BRCA,Bryce Canyon National Park,https://en.wikipedia.org/wiki/Bryce_Canyon_National_Park,https://www.nps.gov/BRCA/index.htm,35835.0,37.64,-112.17
BRCR,Brices Cross Roads National Battlefield Site,https://en.wikipedia.org/wiki/Brices_Cross_Roads_National_Battlefield_Site,https://www.nps.gov/BRCR/index.htm,1.0,34.506111,-88.728889
